NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
GOCC_F_ACTIN_CAPPING_PROTEIN_COMPLEX	8		Rejected!	
GOCC_IKAPPAB_KINASE_COMPLEX	9		Rejected!	
GOCC_PROTEASOME_REGULATORY_PARTICLE_BASE_SUBCOMPLEX	12		Rejected!	
GOCC_PROTEASOME_REGULATORY_PARTICLE_LID_SUBCOMPLEX	7		Rejected!	
GOCC_EPSILON_DNA_POLYMERASE_COMPLEX	5		Rejected!	
GOCC_NUCLEOID	44	43		
GOCC_EXTERNAL_SIDE_OF_PLASMA_MEMBRANE	394	278		
GOCC_CELL_SURFACE	870		Rejected!	
GOCC_ENDOSOME_MEMBRANE	507	470		
GOCC_CHROMOCENTER	15		Rejected!	
GOCC_CYTOPLASMIC_STRESS_GRANULE	73	71		
GOCC_VESICLE_MEMBRANE	800		Rejected!	
GOCC_ER_TO_GOLGI_TRANSPORT_VESICLE_MEMBRANE	62	57		
GOCC_TRANS_GOLGI_NETWORK_TRANSPORT_VESICLE_MEMBRANE	15		Rejected!	
GOCC_JUNCTIONAL_SARCOPLASMIC_RETICULUM_MEMBRANE	9		Rejected!	
GOCC_INTERCALATED_DISC	48	40		
GOCC_SPECTRIN_ASSOCIATED_CYTOSKELETON	9		Rejected!	
GOCC_CAJAL_BODY	77	57		
GOCC_ACTIN_CYTOSKELETON	500	433		
GOCC_MICROTUBULE_CYTOSKELETON	1288		Rejected!	
GOCC_LARGE_RIBOSOMAL_SUBUNIT	115	112		
GOCC_SMALL_RIBOSOMAL_SUBUNIT	74	72		
GOCC_DYSTROGLYCAN_COMPLEX	7		Rejected!	
GOCC_INCLUSION_BODY	74	67		
GOCC_AGGRESOME	35	31		
GOCC_PREFOLDIN_COMPLEX	7		Rejected!	
GOCC_EUKARYOTIC_TRANSLATION_INITIATION_FACTOR_4F_COMPLEX	13		Rejected!	
GOCC_BASOLATERAL_PLASMA_MEMBRANE	211	173		
GOCC_APICAL_PLASMA_MEMBRANE	351	266		
GOCC_APICOLATERAL_PLASMA_MEMBRANE	21	19		
GOCC_LATERAL_PLASMA_MEMBRANE	62	58		
GOCC_CATENIN_COMPLEX	32	20		
GOCC_MYOSIN_COMPLEX	57	41		
GOCC_MYOSIN_II_COMPLEX	19		Rejected!	
GOCC_UNCONVENTIONAL_MYOSIN_COMPLEX	9		Rejected!	
GOCC_PROTON_TRANSPORTING_TWO_SECTOR_ATPASE_COMPLEX	52	48		
GOCC_VACUOLAR_PROTON_TRANSPORTING_V_TYPE_ATPASE_COMPLEX	18	16		
GOCC_SWI_SNF_COMPLEX	19	18		
GOCC_SARCOPLASM	79	62		
GOCC_SIN3_COMPLEX	13		Rejected!	
GOCC_NURD_COMPLEX	15		Rejected!	
GOCC_NURF_COMPLEX	6		Rejected!	
GOCC_RNA_POLYMERASE_II_HOLOENZYME	79	74		
GOCC_MEDIATOR_COMPLEX	40	40		
GOCC_CDC73_PAF1_COMPLEX	8		Rejected!	
GOCC_FLOTILLIN_COMPLEX	7		Rejected!	
GOCC_NUCLEAR_BODY	827		Rejected!	
GOCC_PML_BODY	103	96		
GOCC_NUCLEAR_SPECK	411	384		
GOCC_TRANSCRIPTION_REPRESSOR_COMPLEX	74	67		
GOCC_AMINOACYL_TRNA_SYNTHETASE_MULTIENZYME_COMPLEX	11		Rejected!	
GOCC_GOLGI_TRANSPORT_COMPLEX	13		Rejected!	
GOCC_NMDA_SELECTIVE_GLUTAMATE_RECEPTOR_COMPLEX	10		Rejected!	
GOCC_HOST_CELLULAR_COMPONENT	60	58		
GOCC_SCF_UBIQUITIN_LIGASE_COMPLEX	63	59		
GOCC_PROTEASOME_CORE_COMPLEX_ALPHA_SUBUNIT_COMPLEX	8		Rejected!	
GOCC_PROTEASOME_CORE_COMPLEX_BETA_SUBUNIT_COMPLEX	11		Rejected!	
GOCC_IMMUNOGLOBULIN_COMPLEX	157	19		
GOCC_ORGANELLE_INNER_MEMBRANE	552		Rejected!	
GOCC_OUTER_MEMBRANE	222	201		
GOCC_EXTRINSIC_COMPONENT_OF_PLASMA_MEMBRANE	169	140		
GOCC_EXTRINSIC_COMPONENT_OF_MEMBRANE	304	255		
GOCC_NUCLEAR_CYCLIN_DEPENDENT_PROTEIN_KINASE_HOLOENZYME_COMPLEX	12		Rejected!	
GOCC_PROTEASOME_ACCESSORY_COMPLEX	24	24		
GOCC_CYTOSOLIC_LARGE_RIBOSOMAL_SUBUNIT	57	54		
GOCC_CYTOSOLIC_RIBOSOME	107	102		
GOCC_CYTOSOLIC_SMALL_RIBOSOMAL_SUBUNIT	46	44		
GOCC_TRAPP_COMPLEX	17	15		
GOCC_CCR4_NOT_COMPLEX	16	16		
GOCC_CCR4_NOT_CORE_COMPLEX	6		Rejected!	
GOCC_LAMELLIPODIUM	196	180		
GOCC_CELL_SUBSTRATE_JUNCTION	423	405		
GOCC_HEMIDESMOSOME	6		Rejected!	
GOCC_DESMOSOME	25	20		
GOCC_MITOCHONDRIAL_CRISTA	8		Rejected!	
GOCC_MITOCHONDRIAL_TRICARBOXYLIC_ACID_CYCLE_ENZYME_COMPLEX	6		Rejected!	
GOCC_MEMBRANE_COAT	92	89		
GOCC_CLATHRIN_COAT	45	43		
GOCC_AP_TYPE_MEMBRANE_COAT_ADAPTOR_COMPLEX	40	39		
GOCC_VESICLE_COAT	55	53		
GOCC_AP_1_ADAPTOR_COMPLEX	7		Rejected!	
GOCC_AP_3_ADAPTOR_COMPLEX	9		Rejected!	
GOCC_AP_4_ADAPTOR_COMPLEX	5		Rejected!	
GOCC_CLATHRIN_VESICLE_COAT	28	27		
GOCC_COPI_VESICLE_COAT	13		Rejected!	
GOCC_COPII_VESICLE_COAT	15	15		
GOCC_CLATHRIN_COAT_OF_ENDOCYTIC_VESICLE	11		Rejected!	
GOCC_CLATHRIN_ADAPTOR_COMPLEX	24	23		
GOCC_CLATHRIN_COAT_OF_COATED_PIT	16	15		
GOCC_TRANSPORT_VESICLE	402	331		
GOCC_COPII_COATED_ER_TO_GOLGI_TRANSPORT_VESICLE	94	89		
GOCC_COATED_VESICLE	296	268		
GOCC_CLATHRIN_COATED_VESICLE	193	170		
GOCC_COPI_COATED_VESICLE	28	26		
GOCC_ENDOCYTIC_VESICLE	307	276		
GOCC_TRANS_GOLGI_NETWORK_TRANSPORT_VESICLE	32	29		
GOCC_SECRETORY_GRANULE	847		Rejected!	
GOCC_FILOPODIUM	103	88		
GOCC_INTEGRAL_COMPONENT_OF_SYNAPTIC_VESICLE_MEMBRANE	31	22		
GOCC_DYNEIN_COMPLEX	54	46		
GOCC_EXTERNAL_ENCAPSULATING_STRUCTURE	566	376		
GOCC_JUNCTIONAL_MEMBRANE_COMPLEX	5		Rejected!	
GOCC_T_TUBULE	51	41		
GOCC_AXON	619	488		
GOCC_SITE_OF_POLARIZED_GROWTH	184	161		
GOCC_MIDBODY	193	182		
GOCC_SMALL_NUCLEAR_RIBONUCLEOPROTEIN_COMPLEX	99	70		
GOCC_TRANSPORT_VESICLE_MEMBRANE	206	171		
GOCC_GOLGI_ASSOCIATED_VESICLE_MEMBRANE	52	44		
GOCC_COATED_VESICLE_MEMBRANE	182	161		
GOCC_COPI_COATED_VESICLE_MEMBRANE	18	17		
GOCC_CLATHRIN_COATED_VESICLE_MEMBRANE	117	100		
GOCC_ENDOCYTIC_VESICLE_MEMBRANE	163	141		
GOCC_SECRETORY_GRANULE_MEMBRANE	305	268		
GOCC_CLATHRIN_COATED_ENDOCYTIC_VESICLE_MEMBRANE	39	33		
GOCC_PHAGOCYTIC_VESICLE_MEMBRANE	77	73		
GOCC_SYNAPTIC_VESICLE_MEMBRANE	103	82		
GOCC_AXOLEMMA	12		Rejected!	
GOCC_RIBONUCLEASE_P_COMPLEX	14		Rejected!	
GOCC_MULTIMERIC_RIBONUCLEASE_P_COMPLEX	10		Rejected!	
GOCC_PRERIBOSOME	78	77		
GOCC_90S_PRERIBOSOME	29	28		
GOCC_PRERIBOSOME_LARGE_SUBUNIT_PRECURSOR	23	23		
GOCC_PRERIBOSOME_SMALL_SUBUNIT_PRECURSOR	15	15		
GOCC_CORTICAL_CYTOSKELETON	104	90		
