"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"HAVCR2",5.69029037311174e-09,0.355019286415819,0.543,0.487,0.00011409032198089
"HPSE",6.17883578096565e-09,0.213460342255493,0.118,0.058,0.000123885657408361
"KIAA0930",6.69573787593637e-09,0.355285726102522,0.585,0.533,0.000134249544412524
"DNPH1",6.81485636264766e-09,0.307698371976232,0.339,0.253,0.000136637870071086
"MLLT6",6.93338643594706e-09,0.202412750875276,0.206,0.125,0.000139014398040739
"RHOQ",8.57851635136196e-09,0.363314414773516,0.498,0.43,0.000171999252844807
"JAK1",9.5296524616856e-09,0.341854991621189,0.618,0.547,0.000191069531856796
"PRDX1",1.12939834438186e-08,0.249457213926334,0.943,0.934,0.000226444368048563
"GLMP",1.14281359108322e-08,0.338795207265767,0.323,0.242,0.000229134125012185
"P2RX4",1.35060870240243e-08,0.34545648928667,0.488,0.414,0.000270797044831688
"DUSP10",1.37038622732137e-08,0.218603458246359,0.188,0.114,0.000274762438577935
"TUBA1C",1.52667761347714e-08,0.334261780706024,0.645,0.62,0.000306098861502166
"TMEM51",1.63650279299652e-08,0.296920497034703,0.301,0.218,0.000328118809995803
"IRAK1",1.69598603127581e-08,0.308528060651401,0.442,0.357,0.000340045199270801
"PABPC4",1.69908969925863e-08,0.359204460991739,0.533,0.475,0.000340667484701356
"CD99",1.81269399222878e-08,0.267680941639142,0.739,0.745,0.000363445145441871
"CSF3R",1.82206050359991e-08,0.262511023553684,0.28,0.194,0.000365323130971782
"SLC29A3",1.91704083623633e-08,0.3072818953176,0.266,0.186,0.000384366687665383
"TSC22D1",1.94102049046251e-08,0.223033393628899,0.173,0.103,0.000389174608337733
"TCEAL9",2.03626239505045e-08,0.20709754395544,0.169,0.099,0.000408270610207616
"PTPN1",2.07077111141437e-08,0.380946353802551,0.363,0.287,0.000415189607838581
"AMDHD2",2.4963468164753e-08,0.292314742667842,0.313,0.231,0.000500517536703297
"AP1B1",2.50593500347012e-08,0.312879449341729,0.368,0.288,0.000502439968195758
"RAPGEF1",2.60678503461603e-08,0.317906103983452,0.488,0.42,0.000522660399440514
"SEMA4A",3.03257672056761e-08,0.20193277572999,0.173,0.101,0.000608031632473807
"HSPA5",3.1286797759714e-08,0.444385328345004,0.746,0.725,0.000627300295082265
"FYB1",3.1777063288907e-08,0.32211097109659,0.622,0.587,0.000637130118942585
"GK",3.50291826128654e-08,0.489948161954472,0.501,0.435,0.000702335111387951
"RBP1",3.63231931406226e-08,0.202522323383415,0.104,0.05,0.000728280022469483
"CCL4L2",3.73493518482924e-08,0.485628394406172,0.102,0.049,0.000748854504558262
"FAH",3.99601386770426e-08,0.226347751419494,0.253,0.17,0.000801200780474704
"WIPF1",4.06968006274002e-08,0.315303959735115,0.53,0.463,0.000815970852579374
"CCL4",4.86220507610144e-08,0.430769526771599,0.107,0.052,0.000974872117758339
"SRGN",5.29466133249886e-08,0.5059154519317,0.943,0.94,0.00106157959716602
"SOCS3",5.37909893639755e-08,0.375521855582934,0.269,0.187,0.00107850933674771
