"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"MGAT1",7.65333033295183e-11,0.217832663080703,0.821,0.709,1.53449273175684e-06
"PLEKHO2",1.77656178583125e-10,0.233258100328842,0.554,0.428,3.56200638059166e-06
"DSE",1.19560351012941e-09,0.294657444049011,0.588,0.477,2.39718503780948e-05
"STAT1",2.53402960659157e-08,0.224747048307358,0.565,0.462,0.00050807293612161
"GPR183",1.29226681063325e-07,0.337216464169556,0.16,0.106,0.00259099495531966
"IL1RN",1.11308114735148e-06,0.618213429758688,0.218,0.165,0.0223172770043972
"TMEM176B",2.15826247457499e-06,0.206916494186574,0.376,0.307,0.0432731626152286
"DDIT3",3.49972693646788e-06,0.21558916195174,0.24,0.176,0.0701695250761811
"CXCL3",1.13542426547971e-05,0.270093341786296,0.163,0.116,0.227652565228682
"HSPA1B",2.73202734546786e-05,0.231414698141766,0.194,0.142,0.547771482766306
"IER3",4.66687001659731e-05,0.337203518481094,0.343,0.282,0.93570743832776
"IL1B",0.000114051187393079,0.639347177820782,0.162,0.12,1
"CA2",0.00119124096603234,0.239048396452212,0.154,0.119,1
