NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
GOMF_ENOYL_COA_HYDRATASE_ACTIVITY	10		Rejected!	
GOMF_EPOXIDE_HYDROLASE_ACTIVITY	6		Rejected!	
GOMF_ESTRADIOL_17_BETA_DEHYDROGENASE_ACTIVITY	18		Rejected!	
GOMF_EXOPOLYPHOSPHATASE_ACTIVITY	5		Rejected!	
GOMF_FATTY_ACID_SYNTHASE_ACTIVITY	12		Rejected!	
GOMF_FRUCTOSE_2_6_BISPHOSPHATE_2_PHOSPHATASE_ACTIVITY	5		Rejected!	
GOMF_GLUTATHIONE_TRANSFERASE_ACTIVITY	26	21		
GOMF_GLYCOLIPID_MANNOSYLTRANSFERASE_ACTIVITY	5		Rejected!	
GOMF_GUANOSINE_DIPHOSPHATASE_ACTIVITY	9		Rejected!	
GOMF_GUANYLATE_CYCLASE_ACTIVITY	8		Rejected!	
GOMF_GUANYLATE_KINASE_ACTIVITY	9		Rejected!	
GOMF_HELICASE_ACTIVITY	157	150		
GOMF_HEXOKINASE_ACTIVITY	5		Rejected!	
GOMF_HYALURONONGLUCOSAMINIDASE_ACTIVITY	8		Rejected!	
GOMF_1_PHOSPHATIDYLINOSITOL_4_KINASE_ACTIVITY	6		Rejected!	
GOMF_PHOSPHATIDYLINOSITOL_4_5_BISPHOSPHATE_5_PHOSPHATASE_ACTIVITY	9		Rejected!	
GOMF_INOSITOL_POLYPHOSPHATE_5_PHOSPHATASE_ACTIVITY	6		Rejected!	
GOMF_ISOCITRATE_DEHYDROGENASE_ACTIVITY	5		Rejected!	
GOMF_LACTATE_DEHYDROGENASE_ACTIVITY	6		Rejected!	
GOMF_L_LACTATE_DEHYDROGENASE_ACTIVITY	5		Rejected!	
GOMF_LEUKOTRIENE_C4_SYNTHASE_ACTIVITY	5		Rejected!	
GOMF_LIPOPROTEIN_LIPASE_ACTIVITY	5		Rejected!	
GOMF_LONG_CHAIN_FATTY_ACID_COA_LIGASE_ACTIVITY	14		Rejected!	
GOMF_LYSINE_N_ACETYLTRANSFERASE_ACTIVITY_ACTING_ON_ACETYL_PHOSPHATE_AS_DONOR	6		Rejected!	
GOMF_MONOOXYGENASE_ACTIVITY	101	72		
GOMF_N_N_DIMETHYLANILINE_MONOOXYGENASE_ACTIVITY	5		Rejected!	
GOMF_NUCLEASE_ACTIVITY	201	190		
GOMF_ENDONUCLEASE_ACTIVITY	119	112		
GOMF_ENDODEOXYRIBONUCLEASE_ACTIVITY	40	39		
GOMF_ENDORIBONUCLEASE_ACTIVITY	62	57		
GOMF_RNA_DNA_HYBRID_RIBONUCLEASE_ACTIVITY	5		Rejected!	
GOMF_RIBONUCLEASE_P_ACTIVITY	12		Rejected!	
GOMF_EXONUCLEASE_ACTIVITY	82	79		
GOMF_PHOSPHODIESTERASE_I_ACTIVITY	6		Rejected!	
GOMF_EXODEOXYRIBONUCLEASE_ACTIVITY	22	20		
GOMF_DEOXYRIBONUCLEASE_I_ACTIVITY	5		Rejected!	
GOMF_EXORIBONUCLEASE_ACTIVITY	39	39		
GOMF_POLY_A_SPECIFIC_RIBONUCLEASE_ACTIVITY	13		Rejected!	
GOMF_DEOXYRIBONUCLEASE_ACTIVITY	59	56		
GOMF_RIBONUCLEASE_ACTIVITY	109	104		
GOMF_TRNA_SPECIFIC_RIBONUCLEASE_ACTIVITY	15		Rejected!	
GOMF_NUCLEOSIDE_DIPHOSPHATE_KINASE_ACTIVITY	18	17		
GOMF_NUCLEOTIDE_DIPHOSPHATASE_ACTIVITY	20	18		
GOMF_HYDROLASE_ACTIVITY_HYDROLYZING_O_GLYCOSYL_COMPOUNDS	95	70		
GOMF_BETA_N_ACETYLHEXOSAMINIDASE_ACTIVITY	5		Rejected!	
GOMF_BETA_GALACTOSIDASE_ACTIVITY	6		Rejected!	
GOMF_MANNOSYL_OLIGOSACCHARIDE_1_2_ALPHA_MANNOSIDASE_ACTIVITY	7		Rejected!	
GOMF_OLIGOSACCHARYL_TRANSFERASE_ACTIVITY	6		Rejected!	
GOMF_DOLICHYL_DIPHOSPHOOLIGOSACCHARIDE_PROTEIN_GLYCOTRANSFERASE_ACTIVITY	5		Rejected!	
GOMF_PEPTIDE_ALPHA_N_ACETYLTRANSFERASE_ACTIVITY	11		Rejected!	
GOMF_GLUTATHIONE_PEROXIDASE_ACTIVITY	22	18		
GOMF_PHOSPHOLIPASE_ACTIVITY	106	80		
GOMF_LYSOPHOSPHOLIPASE_ACTIVITY	25	23		
GOMF_PHOSPHOLIPASE_A2_ACTIVITY	33	17		
GOMF_PHOSPHOLIPASE_C_ACTIVITY	28	22		
GOMF_PHOSPHOLIPASE_D_ACTIVITY	5		Rejected!	
GOMF_1_4_ALPHA_OLIGOGLUCAN_PHOSPHORYLASE_ACTIVITY	6		Rejected!	
GOMF_POLYNUCLEOTIDE_ADENYLYLTRANSFERASE_ACTIVITY	13		Rejected!	
GOMF_POLYPEPTIDE_N_ACETYLGALACTOSAMINYLTRANSFERASE_ACTIVITY	19	15		
GOMF_PROCOLLAGEN_PROLINE_4_DIOXYGENASE_ACTIVITY	5		Rejected!	
GOMF_PRENYLTRANSFERASE_ACTIVITY	17	17		
GOMF_PROTEIN_GERANYLGERANYLTRANSFERASE_ACTIVITY	5		Rejected!	
GOMF_PROTEIN_ARGININE_DEIMINASE_ACTIVITY	5		Rejected!	
GOMF_PROTEIN_KINASE_ACTIVITY	561	497		
GOMF_PROTEIN_SERINE_THREONINE_KINASE_ACTIVITY	429	385		
GOMF_TRANSMEMBRANE_RECEPTOR_PROTEIN_SERINE_THREONINE_KINASE_ACTIVITY	19	16		
GOMF_AMP_ACTIVATED_PROTEIN_KINASE_ACTIVITY	6		Rejected!	
GOMF_CALMODULIN_DEPENDENT_PROTEIN_KINASE_ACTIVITY	27	22		
GOMF_CYCLIC_NUCLEOTIDE_DEPENDENT_PROTEIN_KINASE_ACTIVITY	10		Rejected!	
GOMF_CAMP_DEPENDENT_PROTEIN_KINASE_ACTIVITY	8		Rejected!	
GOMF_PROTEIN_KINASE_C_ACTIVITY	16		Rejected!	
GOMF_G_PROTEIN_COUPLED_RECEPTOR_KINASE_ACTIVITY	7		Rejected!	
GOMF_NF_KAPPAB_INDUCING_KINASE_ACTIVITY	6		Rejected!	
GOMF_JUN_KINASE_KINASE_KINASE_ACTIVITY	8		Rejected!	
GOMF_MAP_KINASE_ACTIVITY	14		Rejected!	
GOMF_MAP_KINASE_KINASE_ACTIVITY	18	17		
GOMF_MAP_KINASE_KINASE_KINASE_ACTIVITY	25	23		
GOMF_RIBOSOMAL_PROTEIN_S6_KINASE_ACTIVITY	7		Rejected!	
GOMF_PROTEIN_SERINE_THREONINE_TYROSINE_KINASE_ACTIVITY	44	42		
GOMF_PROTEIN_TYROSINE_KINASE_ACTIVITY	135	118		
GOMF_TRANSMEMBRANE_RECEPTOR_PROTEIN_TYROSINE_KINASE_ACTIVITY	61	48		
GOMF_NON_MEMBRANE_SPANNING_PROTEIN_TYROSINE_KINASE_ACTIVITY	46	44		
GOMF_PROTEIN_LYSINE_6_OXIDASE_ACTIVITY	5		Rejected!	
GOMF_PHOSPHOPROTEIN_PHOSPHATASE_ACTIVITY	179	159		
GOMF_PROTEIN_SERINE_THREONINE_PHOSPHATASE_ACTIVITY	101	89		
GOMF_CALCIUM_DEPENDENT_PROTEIN_SERINE_THREONINE_PHOSPHATASE_ACTIVITY	7		Rejected!	
GOMF_MAGNESIUM_DEPENDENT_PROTEIN_SERINE_THREONINE_PHOSPHATASE_ACTIVITY	11		Rejected!	
GOMF_PROTEIN_TYROSINE_PHOSPHATASE_ACTIVITY	102	90		
GOMF_NON_MEMBRANE_SPANNING_PROTEIN_TYROSINE_PHOSPHATASE_ACTIVITY	9		Rejected!	
GOMF_PYRUVATE_DEHYDROGENASE_ACTIVITY	6		Rejected!	
GOMF_PYRUVATE_DEHYDROGENASE_ACETYL_TRANSFERRING_KINASE_ACTIVITY	5		Rejected!	
GOMF_RETINOL_DEHYDROGENASE_ACTIVITY	20		Rejected!	
GOMF_RIBOSE_PHOSPHATE_DIPHOSPHOKINASE_ACTIVITY	5		Rejected!	
GOMF_SPHINGOMYELIN_PHOSPHODIESTERASE_ACTIVITY	6		Rejected!	
GOMF_STEROL_ESTERASE_ACTIVITY	9		Rejected!	
GOMF_THIOREDOXIN_DISULFIDE_REDUCTASE_ACTIVITY	7		Rejected!	
GOMF_TRIGLYCERIDE_LIPASE_ACTIVITY	29	20		
GOMF_ENZYME_INHIBITOR_ACTIVITY	383	294		
GOMF_PHOSPHOLIPASE_INHIBITOR_ACTIVITY	13		Rejected!	
GOMF_CYCLIN_DEPENDENT_PROTEIN_SERINE_THREONINE_KINASE_INHIBITOR_ACTIVITY	12		Rejected!	
GOMF_CAMP_DEPENDENT_PROTEIN_KINASE_INHIBITOR_ACTIVITY	8		Rejected!	
GOMF_PROTEIN_SERINE_THREONINE_PHOSPHATASE_INHIBITOR_ACTIVITY	11		Rejected!	
GOMF_SERINE_TYPE_ENDOPEPTIDASE_INHIBITOR_ACTIVITY	96	67		
GOMF_CYSTEINE_TYPE_ENDOPEPTIDASE_INHIBITOR_ACTIVITY	56	38		
GOMF_COMPLEMENT_RECEPTOR_ACTIVITY	12		Rejected!	
GOMF_CYTOKINE_RECEPTOR_ACTIVITY	97	82		
GOMF_CILIARY_NEUROTROPHIC_FACTOR_RECEPTOR_ACTIVITY	8		Rejected!	
GOMF_INTERFERON_RECEPTOR_ACTIVITY	5		Rejected!	
GOMF_INTERLEUKIN_1_RECEPTOR_ACTIVITY	7		Rejected!	
GOMF_ONCOSTATIN_M_RECEPTOR_ACTIVITY	6		Rejected!	
GOMF_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY	869	289		
GOMF_EXTRACELLULARLY_ATP_GATED_CATION_CHANNEL_ACTIVITY	7		Rejected!	
GOMF_ADRENERGIC_RECEPTOR_ACTIVITY	9		Rejected!	
GOMF_ALPHA_ADRENERGIC_RECEPTOR_ACTIVITY	6		Rejected!	
GOMF_DOPAMINE_NEUROTRANSMITTER_RECEPTOR_ACTIVITY	5		Rejected!	
GOMF_ICOSANOID_RECEPTOR_ACTIVITY	15		Rejected!	
GOMF_PROSTANOID_RECEPTOR_ACTIVITY	11		Rejected!	
GOMF_PROSTAGLANDIN_E_RECEPTOR_ACTIVITY	5		Rejected!	
GOMF_HISTAMINE_RECEPTOR_ACTIVITY	6		Rejected!	
GOMF_IONOTROPIC_GLUTAMATE_RECEPTOR_ACTIVITY	19		Rejected!	
GOMF_NMDA_GLUTAMATE_RECEPTOR_ACTIVITY	8		Rejected!	
GOMF_MELANOCORTIN_RECEPTOR_ACTIVITY	6		Rejected!	
GOMF_N_FORMYL_PEPTIDE_RECEPTOR_ACTIVITY	5		Rejected!	
GOMF_NEUROPEPTIDE_Y_RECEPTOR_ACTIVITY	10		Rejected!	
GOMF_OLFACTORY_RECEPTOR_ACTIVITY	430	48		
GOMF_OPIOID_RECEPTOR_ACTIVITY	9		Rejected!	
GOMF_SOMATOSTATIN_RECEPTOR_ACTIVITY	5		Rejected!	
GOMF_VASOPRESSIN_RECEPTOR_ACTIVITY	7		Rejected!	
GOMF_EPHRIN_RECEPTOR_ACTIVITY	18		Rejected!	
GOMF_GPI_LINKED_EPHRIN_RECEPTOR_ACTIVITY	6		Rejected!	
GOMF_FIBROBLAST_GROWTH_FACTOR_ACTIVATED_RECEPTOR_ACTIVITY	5		Rejected!	
GOMF_VASCULAR_ENDOTHELIAL_GROWTH_FACTOR_ACTIVATED_RECEPTOR_ACTIVITY	7		Rejected!	
GOMF_TRANSFORMING_GROWTH_FACTOR_BETA_ACTIVATED_RECEPTOR_ACTIVITY	13		Rejected!	
GOMF_TRANSFORMING_GROWTH_FACTOR_BETA_RECEPTOR_ACTIVITY_TYPE_I	5		Rejected!	
